id,saleprice
2658,144223.6882014473
2718,186389.7967976591
2414,242056.1166904752
1989,112274.67197218307
625,174420.0961570583
333,91061.97669501761
1327,92504.76892017234
858,149110.72549007865
95,183082.82081067786
1568,159634.81934798526
2482,171694.67604069758
1364,113423.72025100156
2584,148075.2796646346
818,264601.79313664883
2673,155331.30851943686
2089,126347.72458946853
1297,164725.59882504074
790,113365.13440217507
2616,190157.77806774972
720,199354.49680483315
222,160781.16889240238
557,131104.02508331882
1148,199951.1601828696
2766,165451.43036563168
534,182628.76819076025
1452,112408.18012002978
630,141755.21271605205
2648,146750.2392810986
125,170383.89846788757
1904,35580.95837514778
1670,95762.71893529843
756,98959.28555807508
717,239318.18865355977
1032,147528.30621707335
852,225466.71440519905
1731,178112.1301772042
2639,113533.27275209936
2071,67603.31295779216
1267,139045.1264391501
1851,192621.40589883452
567,184041.7314732177
2439,216017.3160138692
1898,155070.0435600565
647,157633.1625727384
2256,238994.2130247584
979,99516.94796360354
1444,223488.85883060275
2485,120702.41223859228
157,115970.5464920228
88,119334.50733750212
2003,106360.22857882628
186,214388.70561720128
1425,250691.62478669288
2695,130669.08225304031
738,121028.95929012165
395,150257.05974689996
1353,173655.67924190772
1878,152467.08953967108
390,154830.9566146244
1456,236895.80376476323
1103,292898.1449011483
1387,115904.19537332667
2070,146165.7101117795
1199,159863.4169348894
2479,184085.20610387524
501,302408.1074778874
2362,74499.71853531105
1718,237010.5792519426
2188,85452.11077505219
1483,177084.71798105954
2557,80443.5138010025
437,335097.15471459925
2224,191050.49386363765
1628,181748.97816567883
397,124431.0187903636
587,201822.68164499337
2182,513742.6700199342
971,136059.5411907016
2611,139805.92810644445
1887,77967.04046727654
2399,362504.36667554005
2148,205273.292014521
304,121832.64174976997
1997,139864.6829778083
2817,124868.21760942649
1431,216450.11057466106
427,351944.0390931333
263,121958.5217936964
598,186146.01597057373
2895,239874.6745824861
687,138173.2127867373
1822,129155.80851083885
2191,101873.01165099036
179,104685.52787059601
1009,224152.2674864697
2010,121574.9549703616
1991,152847.01811939498
1411,188402.58123674677
1721,265981.86816657684
1144,198871.82688955552
593,214059.4096889784
575,310331.85493282526
1249,184890.59096351915
1604,115392.24620087547
1064,414161.95310236234
1923,153277.08831544677
1988,98597.80016949523
2325,170516.69080466634
114,199307.15958765807
2700,181529.60778575196
217,135153.49026041012
343,181586.6790317039
386,227808.3549029333
2005,120337.17223516651
2908,113329.06639736045
1814,240209.551444015
2446,428330.8486805256
208,167089.61413773167
1679,117553.62421024116
822,323465.90550658817
6,190403.77346501898
1781,374873.2454663038
2397,333665.7137075189
2340,283769.3580833046
1618,167078.59178957864
2843,155722.156009924
1061,355388.4158589324
2786,112969.56875007466
1935,122428.00697832544
1341,126770.31025226953
521,261691.02165610966
2136,138850.58249577845
996,203992.1822736801
227,146633.1191956205
135,181581.98238526774
1167,157276.42234778547
294,213885.4871495107
1776,209353.58322531675
540,178962.63616836426
1717,256053.62726475936
2303,111651.89110906783
116,175909.80709548932
127,144931.60330930373
1371,127911.60804949736
1014,159623.75335477822
1507,87610.25491980746
702,155612.29472507062
750,155055.91959879236
261,137757.16657858825
1559,71872.54986699819
577,214095.00322927313
2812,195425.2798540715
2080,160066.75049966841
1368,112381.92032513069
2376,132967.13027325654
659,119384.64582286614
1235,111563.96854582329
332,79765.67297152303
1917,131768.13272540228
2094,253661.09939680767
1460,257655.72715503504
1471,224170.5289331611
1509,108455.82599240607
1922,116620.36643318576
433,422626.2976085952
460,292889.77033896383
1116,243149.6548130889
1137,164870.19343546708
53,192732.17781434106
2354,271164.02243570355
1475,196175.90832573012
1761,415904.2793099482
842,127295.56738844165
2739,199373.28716368796
2509,164770.920050404
1007,213585.62877869655
2610,179179.81035343403
1952,101562.78847477422
2719,179184.83702485566
2921,93361.1569592799
1966,132553.7358018106
292,136079.06607103813
1204,201538.81795188086
1829,257633.47877434458
2419,208167.32816635788
391,153901.6629091726
798,120867.14138214293
481,215472.88904194534
193,190928.83351771755
555,108943.40605204192
899,47140.62100011052
2357,188436.12614007856
